Inference type;Dataset size;Time;Iterations;ELBO
ugm_cavi;100;0.743901968002;4;-148.5720973435391
ugm_cavi;500;0.536739826202;3;-748.8740397581441
ugm_cavi;1000;0.580912828445;4;-1404.7600865119384
ugm_cavi;2000;0.567386865616;3;-2870.4571651183505
ugm_gavi;100;13.1311860085;4516;-155.75893036659727
ugm_gavi;500;13.7506940365;4033;-727.0987647193742
ugm_gavi;1000;2.98479700089;283;-1490.8631694781616
ugm_gavi;2000;9.77596378326;4104;-2962.3386606584754
