Iteration;ELBO
92;-2765388921.8095851
93;-2683041888.481267
94;-2602779251.1967559
95;-2524559992.2830067
96;-2448343534.6713963
97;-2374089752.7102361
98;-2301759004.5438542
99;-2231312092.5713491
100;-2162710295.6126156
101;-2095915375.0807066
102;-2030889580.2462618
103;-1967595671.7871454
104;-1905996885.5625265
105;-1846056956.4941063
106;-1787740120.9482386
107;-1731011118.549078
108;-1675835193.4726322
109;-1622178095.2664447
110;-1570006079.2349548
111;-1519285906.4270914
112;-1469984843.2587371
113;-1422070660.7998383
114;-1375511633.7525966
115;-1330276539.1449897
116;-1286334654.7612927
117;-1243655757.3292029
118;-1202210120.4812925
119;-1161968512.5067832
120;-1122902193.9081707
121;-1084982914.7757514
122;-1048182911.9920214
123;-1012474906.2767015
124;-977832099.08224869
125;-944228160.90460074
126;-911637245.58586001
127;-880033977.54090619
128;-849393448.13702834
129;-819691211.96225238
130;-790903276.01672995
131;-763006110.3819716
132;-735976636.52403247
133;-709792223.17133439
134;-684430676.13797891
135;-659870246.54834259
136;-636089619.90089631
137;-613067906.32226729
138;-590784647.18879569
139;-569219804.70567918
140;-548353752.5573163
141;-528167281.1014452
142;-508641583.06863213
143;-489758257.89396995
144;-471499298.04560882
145;-453847092.56044227
146;-436784417.6681881
147;-420294428.25264686
148;-404360660.30945164
149;-388967018.68225288
150;-374097778.87385237
151;-359737575.28718454
152;-345871399.54342914
153;-332484598.07866895
154;-319562861.08839059
155;-307092222.95179927
156;-295059051.61337245
157;-283450046.18070745
158;-272252233.93640137
159;-261452960.3327404
160;-251039886.24587241
161;-241000984.71545872
162;-231324531.50792229
163;-221999102.08749211
164;-213013568.13752109
165;-204357088.65382281
166;-196019106.68856514
167;-187989344.16413084
168;-180257796.70651606
169;-172814729.91157833
170;-165650671.25040451
171;-158756406.54713309
172;-152122974.91403162
173;-145741663.71755427
174;-139604003.57750264
175;-133701764.48468785
176;-128026948.58624889
177;-122571786.50566481
178;-117328732.49426179
179;-112290459.62543291
180;-107449855.03330094
181;-102800015.19748126
182;-98334241.275533497
183;-94046034.484612778
184;-89929091.533764094
185;-85977300.108223572
186;-82184734.407024086
187;-78545650.735121071
188;-75054483.151187971
189;-71705839.172152117
190;-68494495.535472393
191;-65415393.498601958
192;-62463635.823159963
193;-59634482.129871875
194;-56923344.900405645
195;-54325785.540888421
196;-51837510.507675312
197;-49454367.10351935
198;-47172340.560625866
199;-44987549.914086848
200;-42896244.381065972
201;-40894799.480590597
202;-38979714.227188244
203;-37147607.338012286
204;-35395213.86942257
205;-33719381.652008645
206;-32117068.620760355
207;-30585339.344357699
208;-29121361.689933062
209;-27722404.268266659
210;-26385833.196194947
211;-25109108.984537888
212;-23889784.106099691
213;-22725499.804702766
214;-21613983.748181526
215;-20553047.161372211
216;-19540582.069557823
217;-18574559.082003105
218;-17653024.597330812
219;-16774098.67528194
220;-15935972.391075274
221;-15136905.795742292
222;-14375225.414039832
223;-13649322.18646062
224;-12957649.434036473
225;-12298720.56147724
226;-11671107.237537291
227;-11073437.228286829
228;-10504392.663909918
229;-9962707.9968217257
230;-9447168.2797524426
231;-8956607.4706769623
232;-8489906.5684395973
233;-8045992.0261923913
234;-7623834.1923587192
235;-7222445.6122733839
236;-6840879.570927457
237;-6478228.6129253665
238;-6133623.154601967
239;-5806229.9896622375
240;-5495250.9942751369
241;-5199921.8189988453
242;-4919510.6214383272
243;-4653316.8749808213
244;-4400670.1027107295
245;-4160928.7685078639
246;-3933479.1636466044
247;-3717734.3296610517
248;-3513133.0165997078
249;-3319138.6758005414
250;-3135238.5107384929
251;-2960942.4839856974
252;-2795782.436548233
253;-2639311.2101872065
254;-2491101.8000428276
255;-2350746.5367482062
256;-2217856.297230395
257;-2092059.7434077719
258;-1973002.5880044061
259;-1860346.886714279
260;-1753770.3559604972
261;-1652965.7155072838
262;-1557640.0551954622
263;-1467514.2250851209
264;-1382322.2375283716
265;-1301810.7251725642
266;-1225738.3846617271
267;-1153875.4535179683
268;-1086003.2070505298
269;-1021913.4746573925
270;-961408.17489817692
271;-904298.86167388398
272;-850406.31021481426
273;-799560.09666336491
274;-751598.2022992206
275;-706366.63363639871
276;-663719.05266779719
277;-623516.43827022612
278;-585626.74468663486
279;-549924.5798591139
280;-516290.89303547901
281;-484612.68795655866
282;-454782.73499761929
283;-426699.29662584863
284;-400265.87490052148
285;-375390.95893340034
286;-351987.78417107201
287;-329974.11065602279
288;-309271.99955889757
289;-289807.61011529044
290;-271510.99762545794
291;-254315.92109999349
292;-238159.66566610604
293;-222982.86468680445
294;-208729.33756710362
295;-195345.9276734837
296;-182782.35436478775
297;-170991.0654567561
298;-159927.10237551245
299;-149547.96599673809
300;-139813.49388993398
301;-130685.73844230373
302;-122128.85522934864
303;-114108.99240983819
304;-106594.1884833411
305;-99554.274618529773
306;-92960.779211483052
307;-86786.839584606787
308;-81007.117710638879
309;-75597.718042010514
310;-70536.111986038828
311;-65801.063633416547
312;-61372.560959999864
313;-57231.749813242881
314;-53360.871609750538
315;-49743.202841235638
316;-46362.998993863337
317;-43205.4408290797
318;-40256.583711940402
319;-37503.308538322992
320;-34933.27621249338
321;-32534.884113656881
322;-30297.224818437739
323;-28210.047193708073
324;-26263.718833535517
325;-24449.191191579375
326;-22757.966303836634
327;-21182.065276941248
328;-19713.998456150388
329;-18346.737190879576
330;-17073.687119242022
331;-15888.663019423133
332;-14785.864641957822
333;-13759.854261787888
334;-12805.535320452957
335;-11918.132243901153
336;-11093.171376251237
337;-10326.462972572874
338;-9614.0841963735111
339;-8952.3630700026224
340;-8337.8633285993237
341;-7767.3701305297436
342;-7237.8765794832034
343;-6746.5709661136279
344;-6290.8248956475109
345;-5868.1819369626282
346;-5476.3469844104802
347;-5113.1762373826823
348;-4776.6677643051989
349;-4464.9526193843049
350;-4176.2864819995411
351;-3909.0417637884202
352;-3661.7002668122113
353;-3432.8461928273209
354;-3221.1596012863665
355;-3025.4102606727538
356;-2844.451853489154
357;-2677.2165880015491
358;-2522.7100802019831
359;-2380.006569092915
360;-2248.2444131834382
361;-2126.6219047380673
362;-2014.3933015173916
363;-1910.8651200724489
364;-1815.3926515375661
365;-1727.3767247370779
366;-1646.2606432146767
367;-1571.5273195526024
368;-1502.6966141200901
369;-1439.3228143044707
370;-1380.9923023375977
371;-1327.3213534875504
372;-1277.9540788766953
373;-1232.56051641267
374;-1190.8348269792696
375;-1152.4936263430191
376;-1117.2744105732399
377;-1084.9341002421297
378;-1055.2476675696598
379;-1028.0068674246959
380;-1003.0190417797803
381;-980.1060148832712
382;-959.1030533779558
383;-939.8579055804239
384;-922.22989809551655
385;-906.08910143639514
386;-891.3155461819606
387;-877.79849922516587
388;-865.43578449815504
389;-854.13315494983181
390;-843.80370782721911
391;-834.36733797952911
392;-825.75023348652758
393;-817.88440338954751
394;-810.70724149936723
395;-804.16112095924291
396;-798.19301597471713
397;-792.75415266849996
398;-787.79968444599945
399;-783.28839128615436
400;-779.18239965944485
401;-775.44692424923051
402;-772.05002816409979
403;-768.96240109946848
404;-766.15715306994025
405;-763.60962438546085
406;-761.29720950068258
407;-759.1991942602599
408;-757.29660482925465
409;-755.57206866550587
410;-754.00968584239854
411;-752.59491019430243
412;-751.31443957467854
413;-750.15611456546503
414;-749.10882511104865
415;-748.16242412201427
416;-747.30764812280904
417;-746.53604401314624
418;-745.83990159631685
419;-745.21219144441966
420;-744.64650770047047
421;-744.13701544584001
422;-743.6784022877946
423;-743.26583384643163
424;-742.89491284357609
425;-742.56164151731537
426;-742.26238710604594
427;-741.99385016455381
428;-741.75303549183809
429;-741.53722546670906
430;-741.34395560223857
431;-741.17099214396876
432;-741.01631155020368
433;-740.87808170420067
434;-740.75464471000851
435;-740.64450118691821
436;-740.54629587460659
437;-740.45880448954267
438;-740.38092171842436
439;-740.31165025521659
440;-740.25009079619122
441;-740.19543290893307
442;-740.14694672148653
443;-740.10397533357173
444;-740.06592790998184
445;-740.03227339036675
446;-740.00253477448859
447;-739.97628391585567
448;-739.95313679291939
449;-739.93274921159718
450;-739.91481290870615
451;-739.89905201048896
452;-739.88521982282327
453;-739.87309592098791
454;-739.8624835164519
455;-739.85320706975108
456;-739.84511013108931
457;-739.83805339011997
458;-739.83191291067305
459;-739.82657853920864
460;-739.82195246665651
461;-739.81794793177687
462;-739.81448805355649
463;-739.81150477831034
464;-739.80893793321047
465;-739.80673437431506
466;-739.80484722108486
467;-739.80323516943645
468;-739.80186187476284
469;-739.80069539928081
470;-739.79970771650005
471;-739.79887426809182
472;-739.79817356718922
473;-739.79758684427179
474;-739.7970977308305
475;-739.79669197728253
476;-739.79635720167971
477;-739.79608266595096
478;-739.79585907702858
479;-739.79567841007156
480;-739.79553375169962
481;-739.79541916102426
482;-739.79532954661772
483;-739.79526055777569
484;-739.79520848842549
485;-739.79517019243212
486;-739.79514300904702
487;-739.79512469724068
488;-739.79511337816257
489;-739.79510748463872
490;-739.79510571695573
491;-739.79510700428
492;-739.7951104709955
493;-739.79511540736894
494;-739.79512124413304
495;-739.79512753042582
496;-739.79513391473301
497;-739.79514012844083
498;-739.79514597170783
499;-739.79515130131222
500;-739.79515602036372
501;-739.79516006940503
502;-739.79516341896124
503;-739.79516606324432
504;-739.79516801480713
505;-739.79516930010141
