Inference type;Dataset size;Time;Iterations;ELBO
coordAsc/ugm_cavi;100;0.5459368705748;4;-157.5856082651
coordAsc/ugm_cavi;500;0.5483008861541;3;-718.9833316895
coordAsc/ugm_cavi;1000;0.5285503149031999;3;-1432.5665624489998
gradAsc/ugm_gavi;100;6.813129281997;2237;-158.84197790300001
gradAsc/ugm_gavi;500;7.570097899433999;2463;-748.9573490684
gradAsc/ugm_gavi;1000;4.44806399345;989;-1470.0685291369998
