zn
13
13
0
9
3
12
18
13
23
4
11
18
11
18
3
29
25
23
9
3
21
9
9
2
4
4
13
13
9
21
9
16
9
18
25
3
24
18
22
0
18
24
17
13
3
24
13
23
3
13
18
9
3
3
1
22
7
5
23
18
10
16
9
3
9
13
4
25
13
21
24
7
0
10
7
24
11
3
4
24
3
29
0
0
18
0
23
13
15
13
6
14
3
11
13
4
3
23
23
0
24
3
3
3
11
7
3
10
18
1
10
1
19
0
13
18
0
0
15
5
9
11
24
11
19
23
4
4
13
7
3
13
4
23
25
1
23
4
0
15
23
11
1
18
11
9
14
0
24
28
0
0
23
13
3
4
9
24
9
5
4
3
0
17
25
16
1
4
28
3
4
9
9
19
23
13
5
2
24
13
0
29
9
13
9
13
23
18
17
9
4
13
3
23
7
4
25
3
4
13
3
13
13
7
9
3
16
4
18
13
17
4
23
13
6
25
25
11
0
3
25
3
17
4
24
8
3
3
3
3
3
18
18
3
18
25
19
2
18
13
3
4
1
7
17
24
24
4
13
7
7
24
1
4
11
25
16
15
24
13
13
9
9
18
3
3
4
16
4
4
13
18
13
11
9
13
21
21
16
11
13
7
7
7
24
18
4
0
9
3
28
10
28
10
21
24
16
13
22
18
0
11
13
1
9
4
18
7
9
3
18
18
13
3
3
0
18
25
5
24
13
24
18
6
13
0
22
4
13
13
0
19
24
13
23
6
4
13
4
13
18
3
13
9
4
9
23
6
9
13
23
16
4
17
3
9
3
13
19
23
6
27
10
18
11
9
25
23
24
16
4
9
2
4
10
13
13
3
24
3
17
5
24
4
3
3
6
24
24
0
10
9
18
0
7
10
7
13
25
29
18
24
24
5
25
18
22
24
3
25
3
4
24
4
7
7
3
14
8
4
3
22
9
0
3
13
18
13
9
25
25
3
21
15
24
11
1
9
11
16
6
24
3
3
9
9
3
13
13
21
1
13
13
3
4
3
18
13
4
13
10
24
10
4
3
13
8
4
18
15
23
25
13
3
11
24
3
10
7
19
1
25
0
23
24
9
29
4
24
4
9
4
25
13
0
21
4
1
9
0
4
0
18
24
16
3
23
3
1
4
3
24
0
16
5
12
23
16
7
18
23
1
13
25
19
8
13
10
0
23
2
13
11
16
11
7
23
16
3
7
25
18
9
18
13
9
23
9
13
24
25
16
13
17
3
25
18
9
3
4
11
7
9
23
4
4
17
13
1
2
17
18
3
3
7
7
11
4
5
3
13
18
0
19
16
16
24
13
3
10
21
13
1
11
3
13
3
18
2
3
13
24
23
24
1
16
4
23
18
9
0
18
9
25
3
18
21
24
24
5
22
0
18
13
24
7
1
8
18
9
25
13
21
19
11
24
25
17
21
4
24
4
24
3
22
18
1
4
24
4
1
13
7
7
11
0
0
13
9
4
4
0
9
5
21
24
4
9
16
18
4
5
9
7
4
0
0
4
0
9
1
9
13
24
3
4
9
13
13
3
13
23
9
13
3
24
5
3
13
22
23
4
6
24
3
4
3
2
25
4
18
23
1
22
10
4
21
13
13
27
17
4
9
3
13
24
24
5
14
25
13
13
4
0
25
3
6
0
3
22
23
11
24
18
3
4
4
11
7
1
16
23
5
10
0
28
3
3
9
9
27
29
9
11
17
13
11
4
4
16
11
25
4
9
28
11
4
11
19
23
3
11
24
18
24
6
18
23
23
23
21
13
4
24
4
16
3
24
24
14
6
19
0
9
0
13
17
28
24
13
9
23
16
0
24
6
6
24
0
18
9
24
24
1
11
13
28
0
1
25
17
13
4
23
1
23
7
14
24
8
7
18
21
21
0
1
10
0
3
0
21
25
24
25
17
13
10
24
13
23
5
3
23
9
2
16
21
3
24
18
4
18
3
4
3
13
29
18
23
24
0
4
12
9
13
23
21
3
3
4
11
9
23
9
7
18
16
16
24
25
10
9
11
4
0
13
18
12
7
3
23
3
19
7
4
5
9
3
0
3
13
25
16
1
3
11
3
3
13
11
19
3
24
5
18
5
0
3
13
1
0
1
9
3
23
13
3
3
24
13
4
24
21
2
9
0
24
0
4
2
10
14
9
9
3
24
21
9
1
1
