Points
[[39.869111, 2.925053], [39.868933, 2.924568], [39.869745, 2.92523], [39.869688, 2.923348], [39.869071, 2.922881], [39.869237, 2.922644], [39.869354, 2.921578], [39.871138, 2.920377], [39.872429, 2.919978], [39.873484, 2.918956], [39.873909, 2.918435], [39.875464, 2.91755], [39.875767, 2.918245], [39.876981, 2.917958], [39.877787, 2.917185], [39.878657, 2.916468], [39.880184, 2.915759], [39.881055, 2.915944], [39.882184, 2.916152], [39.88366, 2.916089], [39.88531, 2.915806], [39.885958, 2.916568], [39.887856, 2.918294], [39.88912, 2.918129], [39.890605, 2.916662], [39.890821, 2.915313], [39.891532, 2.913904], [39.892706, 2.913933], [39.896052, 2.911777], [39.895918, 2.91219]]
[[39.420091, 3.076623], [39.422579, 3.064675], [39.429329, 3.044343], [39.431804, 3.030351], [39.431679, 3.02373], [39.430927, 3.020534], [39.430783, 3.019974], [39.42967, 3.020188], [39.427444, 3.021708], [39.429916, 3.013791], [39.435908, 3.00732], [39.438105, 3.005013], [39.436162, 3.016334], [39.435332, 3.019581], [39.432134, 3.028321], [39.429727, 3.043361], [39.423596, 3.060481], [39.420891, 3.071613], [39.419965, 3.076441], [39.419485, 3.07561], [39.419651, 3.077181], [39.41947, 3.077287], [39.419347, 3.077067], [39.419337, 3.077314], [39.419482, 3.077447], [39.419618, 3.07718], [39.41948, 3.077476], [39.419439, 3.077705], [39.419211, 3.077307], [39.419512, 3.077477]]
[[39.75646, 2.827329], [39.759501, 2.824279], [39.762397, 2.81826], [39.763203, 2.818679], [39.764698, 2.813741], [39.766862, 2.810195], [39.768224, 2.809424], [39.767971, 2.808958], [39.767582, 2.806928], [39.767772, 2.805063], [39.766664, 2.800625], [39.766933, 2.798852], [39.767518, 2.799198], [39.767672, 2.798423], [39.765337, 2.796727], [39.76364, 2.79623], [39.763153, 2.794572], [39.759398, 2.794368], [39.758804, 2.796608], [39.759229, 2.799024], [39.759584, 2.800347], [39.757982, 2.802711], [39.75875, 2.804271], [39.759691, 2.805634], [39.760829, 2.806399], [39.762986, 2.810773], [39.764675, 2.813724], [39.763723, 2.818455], [39.761638, 2.819034], [39.759263, 2.824494]]
[[39.737062, 3.311292], [39.736292, 3.314088], [39.737336, 3.314807], [39.737336, 3.314807], [39.738095, 3.318018], [39.738075, 3.319628], [39.739229, 3.319139], [39.739229, 3.319139], [39.740053, 3.318845], [39.740701, 3.31769], [39.741628, 3.316071], [39.741628, 3.316071], [39.744409, 3.315586], [39.745798, 3.314251], [39.74837, 3.312627], [39.74837, 3.312627], [39.751201, 3.307766], [39.751913, 3.30538], [39.750484, 3.303488], [39.749747, 3.302845], [39.749747, 3.302845], [39.748461, 3.301627], [39.747398, 3.294618], [39.744579, 3.288957], [39.744579, 3.288957], [39.742674, 3.287421], [39.739902, 3.282506], [39.739544, 3.278829], [39.739544, 3.278829], [39.737171, 3.275853]]
[[39.790615, 2.693164], [39.798009, 2.693981], [39.798152, 2.693895], [39.801482, 2.693971], [39.801745, 2.69966], [39.804836, 2.702606], [39.808904, 2.707497], [39.810906, 2.711137], [39.813799, 2.714474], [39.814618, 2.716815], [39.816708, 2.720675], [39.814297, 2.715524], [39.814664, 2.71486], [39.818122, 2.720676], [39.819016, 2.722399], [39.819865, 2.724192], [39.818858, 2.725468], [39.818249, 2.727591], [39.817129, 2.727699], [39.815766, 2.729852], [39.813203, 2.731938], [39.809715, 2.730278], [39.804531, 2.728337], [39.803283, 2.729462], [39.797272, 2.726647], [39.791491, 2.726256], [39.787439, 2.723589], [39.782824, 2.722208], [39.77758, 2.721835], [39.772273, 2.719101]]
[[39.807551, 3.115461], [39.809138, 3.116351], [39.812072, 3.115461], [39.814812, 3.11456], [39.817564, 3.114125], [39.820431, 3.114674], [39.823381, 3.115198], [39.826326, 3.115627], [39.829239, 3.116265], [39.832223, 3.117296], [39.835152, 3.118309], [39.838073, 3.120068], [39.839621, 3.122606], [39.839598, 3.125292], [39.841176, 3.128153], [39.841667, 3.131216], [39.840531, 3.127854], [39.838293, 3.124929], [39.838711, 3.122542], [39.837751, 3.119983], [39.835313, 3.11851], [39.832733, 3.117547], [39.829923, 3.116612], [39.82681, 3.115835], [39.823371, 3.115209], [39.820652, 3.114716], [39.817247, 3.114079], [39.814662, 3.114543], [39.811689, 3.115533], [39.809045, 3.116371]]
[[39.955583, 3.211976], [39.957901, 3.208005], [39.953985, 3.207526], [39.95546, 3.201726], [39.953379, 3.202364], [39.951753, 3.198224], [39.951144, 3.193551], [39.954081, 3.189572], [39.952018, 3.185547], [39.949793, 3.179333], [39.948352, 3.171973], [39.948951, 3.166246], [39.947201, 3.159626], [39.942923, 3.15181], [39.938774, 3.144612], [39.93421, 3.138734], [39.930356, 3.134065], [39.931474, 3.129301], [39.932572, 3.127505], [39.9318, 3.123343], [39.930929, 3.122314], [39.930778, 3.116979], [39.92915, 3.111894], [39.927727, 3.109874], [39.924585, 3.107677], [39.920235, 3.106963], [39.916738, 3.107634], [39.912965, 3.10477], [39.91395, 3.104429], [39.912682, 3.100026]]
[[39.583025, 2.349516], [39.586351, 2.353908], [39.588358, 2.354854], [39.591375, 2.356363], [39.591447, 2.357658], [39.592669, 2.358808], [39.594207, 2.359181], [39.596698, 2.359447], [39.59749, 2.359038], [39.599158, 2.361085], [39.600086, 2.360836], [39.599927, 2.358855], [39.599963, 2.360961], [39.599428, 2.361738], [39.598739, 2.363099], [39.598271, 2.36458], [39.596454, 2.363043], [39.595737, 2.363039], [39.595086, 2.362627], [39.594323, 2.362271], [39.593376, 2.361898], [39.592839, 2.361945], [39.591869, 2.361924], [39.590916, 2.362012], [39.590626, 2.362725], [39.589468, 2.359899], [39.589601, 2.357929], [39.588714, 2.355014], [39.586537, 2.354062], [39.584984, 2.352651]]
[[39.692475, 2.701461], [39.69595, 2.701416], [39.695749, 2.704354], [39.698475, 2.706104], [39.700061, 2.708542], [39.701594, 2.710419], [39.701647, 2.711211], [39.702887, 2.713911], [39.703734, 2.717239], [39.705373, 2.720272], [39.707833, 2.720472], [39.710858, 2.720556], [39.712065, 2.723398], [39.715305, 2.725258], [39.716619, 2.723441], [39.71627, 2.725376], [39.714766, 2.728254], [39.711579, 2.728377], [39.708164, 2.727071], [39.705341, 2.725153], [39.702024, 2.722269], [39.697444, 2.720769], [39.694692, 2.719882], [39.691796, 2.719008], [39.689311, 2.720752], [39.686397, 2.720609], [39.684377, 2.717544], [39.68412, 2.711693], [39.683784, 2.706206], [39.686547, 2.702514]]
[[39.848216, 2.89618], [39.853382, 2.893742], [39.854582, 2.888435], [39.85576, 2.88691], [39.856266, 2.882701], [39.857123, 2.877647], [39.860302, 2.876644], [39.860246, 2.872085], [39.863081, 2.866214], [39.865356, 2.861947], [39.864519, 2.857645], [39.863461, 2.853797], [39.861546, 2.853008], [39.858193, 2.850961], [39.856809, 2.849225], [39.855632, 2.845988], [39.852917, 2.843722], [39.849696, 2.841613], [39.846321, 2.843584], [39.845561, 2.848523], [39.848251, 2.851706], [39.847638, 2.857503], [39.847316, 2.859999], [39.844007, 2.861208], [39.840067, 2.86503], [39.840062, 2.872323], [39.837364, 2.877344], [39.82959, 2.879817], [39.825486, 2.877932], [39.823691, 2.877414]]
