Iteration;ELBO
0;-8681524254.1331482
1;-3.8469050560280433e+44
2;-1852546901632.9412
3;-1312600208.2866411
4;-2641724724.3213072
5;-3444734425.4918308
6;-3970460574.7239418
7;-4329518342.3501863
8;-4579559423.1689405
9;-4754001198.6264524
10;-4873734901.5605383
11;-4952582223.7213354
12;-5000102801.2318163
13;-5023149295.76542
14;-5026780825.8122835
15;-5014826014.4120455
16;-4990243713.055913
17;-4955362015.1689901
18;-4912041367.2834196
19;-4861788451.2838278
20;-4805837821.9252653
21;-4745211170.8524351
22;-4680761585.8461151
23;-4613206627.3415146
24;-4543153939.7928581
25;-4471120799.4341373
26;-4397549685.6987429
27;-4322820658.7318029
28;-4247261051.9444962
29;-4171153554.1784716
30;-4094742824.844368
31;-4018240729.8453941
32;-3941830910.8650513
33;-3865672615.5799093
34;-3789903726.4804039
35;-3714643532.6522236
36;-3639995034.6239271
37;-3566046985.3980031
38;-3492875476.9740262
39;-3420545491.8098884
40;-3349112198.4321017
41;-3278622085.7835989
42;-3209113959.4840927
43;-3140619819.8566742
44;-3073165637.5962195
45;-3006772085.7662172
46;-2941455056.5416837
47;-2877226252.6767068
48;-2814093670.787251
49;-2752062032.5642395
50;-2691133169.6977482
51;-2631306368.0091882
52;-2572578675.0775886
53;-2514945175.6075277
54;-2458399205.9411688
55;-2402932641.043138
56;-2348536057.1331382
57;-2295198908.3366199
58;-2242909684.663384
59;-2191656053.2869759
60;-2141424984.7539363
61;-2092202841.0722523
62;-2043975527.5505972
63;-1996728555.5499954
64;-1950447122.1951089
65;-1905116181.2087636
66;-1860720485.1762111
67;-1817244684.0747383
68;-1774673352.0950639
69;-1732991012.521127
70;-1692182214.4268539
71;-1652231546.039031
72;-1613123647.335746
73;-1574843270.2173808
74;-1537375282.5056741
75;-1500704671.9921544
76;-1464816594.0505645
77;-1429696355.2435377
78;-1395329454.2723048
79;-1361701563.5020716
80;-1328798564.3443868
81;-1296606527.4042532
82;-1265111743.198936
83;-1234300701.4855754
84;-1204160118.063741
85;-1174676913.7203627
86;-1145838237.7350507
87;-1117631446.7830055
88;-1090044125.6560035
89;-1063064066.381713
90;-1036679277.5156584
91;-1010877991.3109604
92;-985648643.51451182
93;-960979880.61531341
94;-936860565.297176
95;-913279757.19169641
96;-890226718.60163677
97;-867690911.47682536
98;-845662001.26050746
99;-824129839.15525401
100;-803084466.38912463
101;-782516110.88497591
102;-762415183.90234983
103;-742772282.60500896
104;-723578174.35091066
105;-704823799.75545716
106;-686500269.355582
107;-668598860.30369568
108;-651111013.0988543
109;-634028328.36112511
110;-617342563.65410781
111;-601045630.35989404
112;-585129590.60973692
113;-569586654.27324247
114;-554409176.00805819
115;-539589652.3717407
116;-525120718.99681044
117;-510995147.82970482
118;-497205844.43396717
119;-483745845.35764867
120;-470608315.56469196
121;-457786545.92977417
122;-445273950.79593235
123;-433064065.59409142
124;-421150544.52349555
125;-409527155.36629033
126;-398187783.36828423
127;-387126425.92971706
128;-376337190.51691794
129;-365814292.62843239
130;-355552051.3246116
131;-345544892.47475195
132;-335787344.18312299
133;-326274034.95781308
134;-316999689.739757
135;-307959132.71202523
136;-299147283.2371121
137;-290559152.22097933
138;-282189844.62731338
139;-274034555.75709176
140;-266088567.91625687
141;-258347252.65989211
142;-250806065.69748425
143;-243460548.96956611
144;-236306325.85000175
145;-229339103.06437474
146;-222554667.64679068
147;-215948884.20714733
148;-209517696.62833738
149;-203257123.93068206
150;-197163261.83164757
151;-191232278.84580773
152;-185460416.50471988
153;-179843989.36679509
154;-174379381.4423348
155;-169063047.44155928
156;-163891509.39903724
157;-158861356.78575405
158;-153969246.44089484
159;-149211899.47145808
160;-144586101.30544207
161;-140088701.58067012
162;-135716611.2934674
163;-131466802.79723978
164;-127336309.65128736
165;-123322223.9950272
166;-119421696.4961199
167;-115631935.43422706
168;-111950205.79773796
169;-108373829.0725874
170;-104900180.94631863
171;-101526691.18121821
172;-98250842.758810222
173;-95070171.035346672
174;-91982262.907969862
175;-88984756.542800575
176;-86075339.410515219
177;-83251748.084169939
178;-80511767.445222914
179;-77853229.898863599
180;-75274014.598446205
181;-72772046.678808779
182;-70345296.498311862
183;-67991778.889399916
184;-65709552.417543136
185;-63496718.648397334
186;-61351421.423054963
187;-59271846.141251996
188;-57256219.052424379
189;-55302806.554497913
190;-53409914.500324115
191;-51575887.200193569
192;-49799107.394442409
193;-48077995.241453402
194;-46411007.653843574
195;-44796637.641940869
196;-43233413.664496124
197;-41719898.73668652
198;-40254690.317935102
199;-38836419.410190932
200;-37463749.937148035
201;-36135377.915167771
202;-34850031.297307
203;-33606469.137379266
204;-32403480.997243278
205;-21163602.533782728
206;-30114533.51811561
207;-29026300.640339047
208;-27974093.199230645
209;-26956844.680717003
210;-25973515.667105626
211;-25023093.145526443
212;-24104590.279706787
213;-23217045.580990419
214;-22359522.671097275
215;-21531109.615396746
216;-20730918.291760731
217;-19958084.142692938
218;-19211765.433215927
219;-18491142.997681256
220;-17795419.529847987
221;-17123819.325676087
222;-16475587.604264367
223;-15849990.155505376
224;-15246312.973132543
225;-14663861.619609218
226;-14101960.963965999
227;-13559954.574534241
228;-13037204.456601743
229;-12533090.471891478
230;-12047010.007159336
231;-11578377.632951276
232;-11126624.561255798
233;-10691198.324686598
234;-10271562.447506504
235;-9867195.9392691273
236;-9477592.9853221104
237;-9102262.5781884827
238;-8740728.205767611
239;-8392527.3898073249
240;-8057211.3923883112
241;-7734344.8730030609
242;-7423505.5519511914
243;-7124283.9208995905
244;-6836282.8327273466
245;-6559117.2289605401
246;-6292413.8279577233
247;-6035810.8191643953
248;-5788957.5633825194
249;-5551514.2989992704
250;-5323151.8845496401
251;-5103551.4526025066
252;-4892404.1673515402
253;-4689410.9540986186
254;-4494282.2343976684
255;-4306737.6667959271
256;-4126505.8931084978
257;-3953324.2901605386
258;-3786938.7269313624
259;-3627103.327032947
260;-3473580.236454959
261;-3326139.396507537
262;-3184558.3218923248
263;-3048621.8838315667
264;-2918122.0816131169
265;-2792857.870589463
266;-2672634.9415569422
267;-2557265.5234055994
268;-2446568.1904691351
269;-2340367.6745023006
270;-2238494.6812123801
271;-2140785.6991467616
272;-2047082.8507213101
273;-1957233.7084120016
274;-1871091.1287699817
275;-1788513.0906239755
276;-1709362.5277311958
277;-1633507.1955625836
278;-1560819.5108000056
279;-1491176.4055559984
280;-1424459.1773707208
281;-1360553.3680169075
282;-1299348.619946732
283;-1240738.5383665722
284;-1184620.5786622679
285;-1130895.9146156106
286;-1079469.3117884463
287;-1030249.0232028657
288;-983146.66301162192
289;-938077.1074698912
290;-894958.38106361241
291;-853711.54711144185
292;-814260.61634704669
293;-776532.43845055427
294;-740456.61548323405
295;-705965.39995029301
296;-672993.61290955555
297;-641478.54823444586
298;-611359.8952178749
299;-582579.64871677407
300;-555082.03607287642
301;-528813.43283239275
302;-503722.29380653484
303;-479759.07407202967
304;-456876.16142730328
305;-435027.81028742215
306;-414170.07008002006
307;-394260.72367737809
308;-375259.22720187652
309;-357126.64522077754
310;-339825.59663824295
311;-323320.19410979532
312;-307575.9914972012
313;-292559.93093611015
314;-278240.29319326498
315;-264586.6448184037
316;-251569.79202243622
317;-239161.73437158042
318;-227335.62130180618
319;-216065.70614122425
320;-205327.30575385195
321;-195096.76014964652
322;-185351.39346927643
323;-176069.47729257474
324;-167230.19214975522
325;-158813.5935182831
326;-150800.57791576744
327;-143172.85017657693
328;-135912.89187654489
329;-129003.93087094853
330;-122429.91191180493
331;-116175.46896381784
332;-110225.89649153798
333;-104567.12386236379
334;-99185.689957219409
335;-94068.718702619604
336;-89203.895494871002
337;-84579.444487905537
338;-80184.106716982686
339;-76007.119031220325
340;-72038.193808627431
341;-68267.499428011855
342;-64685.641472828414
343;-61283.644298402141
344;-58052.934362354579
345;-54985.323087464414
346;-52072.99075738839
347;-49308.47102957192
348;-46684.636044285609
349;-44194.682109336165
350;-41832.115940584641
351;-39590.741216541996
352;-37464.646348542097
353;-35448.192020062437
354;-33535.999463322332
355;-31722.939200822439
356;-30004.120066694832
357;-28374.87918935647
358;-26830.7718367653
359;-25367.561857062065
360;-23981.212371566486
361;-22667.877263492883
362;-21423.892582693556
363;-20245.768451308468
364;-19130.181195098332
365;-18073.966132651149
366;-17074.110319590625
367;-16127.745623052671
368;-15232.142366104586
369;-14384.702868292959
370;-13582.955608308046
371;-12824.549375004139
372;-12107.247688115931
373;-11428.923666985658
374;-10787.554841069246
375;-10181.21844544508
376;-9608.0866718807556
377;-9066.4223586806565
378;-8554.5746477745506
379;-8070.9750386390369
380;-7614.1334193116109
381;-7182.6344561799706
382;-6775.1339691182411
383;-6390.3556308812849
384;-6027.0876587114717
385;-5684.1797989068282
386;-5360.5403092630004
387;-5055.133206108927
388;-4766.9755138366763
389;-4495.1347285736401
390;-4238.7263893102445
391;-3996.9116873741418
392;-3768.8952807051564
393;-3553.9231185253848
394;-3351.2804324957269
395;-3160.2898149606235
396;-2980.3093329958474
397;-2810.7307854386286
398;-2650.9780222322338
399;-2500.5053559360467
400;-2358.7960062665647
401;-2225.3606611985801
402;-2099.7360912773133
403;-1981.4838402168896
404;-1870.1889454406212
405;-1765.4587534869415
406;-1666.9217806375345
407;-1574.2266365455084
408;-1487.0409746176856
409;-1405.0505194763487
410;-1327.9581326801413
411;-1255.4829240495255
412;-1187.3594065159239
413;-1123.3366925010437
414;-1063.1777351179924
415;-1006.658590735354
416;-953.56773491473018
417;-903.70540660725931
418;-856.88298511244659
419;-812.9223982647693
420;-771.65556038007298
421;-732.92383855756214
422;-696.5775459946251
423;-662.47546103060392
424;-630.48437069223132
425;-600.47863756774177
426;-572.3397888888519
427;-545.95612674971244
428;-521.22235844007332
429;-498.03924591577061
430;-476.31327347391749
431;-455.95633274236968
432;-436.88542413370135
433;-419.02237395271436
434;-402.29356499247262
435;-386.62968567802977
436;-371.96548798770868
437;-358.23955978821414
438;-345.39410929663291
439;-333.3747610594545
440;-322.13036286728493
441;-311.61280218825675
442;-301.77683519231357
443;-292.57992223011456
444;-283.98207321059442
445;-275.94570074168973
446;-268.43548333218666
447;-261.41823396523932
448;-254.86277662989016
449;-248.7398291628449
450;-243.02189411206848
451;-237.68315404686155
452;-232.69937324922307
453;-228.04780451737952
454;-223.70710235087199
455;-219.65723979731592
456;-215.8794301011776
457;-212.35605371965676
458;-209.07058823258672
459;-206.0075433918264
460;-203.152399023827
461;-200.49154656710311
462;-198.01223462021107
463;-195.70251675520694
464;-193.55120314897931
465;-191.54781442151148
466;-189.68253821320604
467;-187.94618874771959
468;-186.33016815362453
469;-184.82643061210501
470;-183.4274480906281
471;-182.126178579623
472;-180.91603575756699
473;-179.79086087161727
474;-178.74489590319968
475;-177.77275869348273
476;-176.86941922347091
477;-176.03017756205031
478;-175.25064311617416
479;-174.52671494612605
480;-173.85456351958169
481;-173.2306133446466
482;-172.65152682866142
483;-172.11418910554653
484;-171.61569366470599
485;-171.15332903192893
486;-170.72456611484085
487;-170.32704644531236
488;-169.95857113891725
489;-169.61709045377347
490;-169.30069409171278
491;-169.00760207451663
492;-168.73615621303838
493;-168.48481204942004
494;-168.25213137457513
495;-168.03677519617918
496;-167.83749716806506
497;-167.65313739153385
498;-167.48261666122744
499;-167.32493106279094
500;-167.1791469284276
501;-167.04439608369353
502;-166.91987143705933
503;-166.80482284293112
504;-166.69855323381512
505;-166.60041500470106
506;-166.5098066339765
507;-166.42616953219203
508;-166.34898507895559
509;-166.27777187558331
510;-166.21208317254059
511;-166.15150446776624
512;-166.09565126488201
513;-166.04416698120713
514;-165.9967209959018
515;-165.95300682929314
516;-165.91274044492252
517;-165.87565866633417
518;-165.84151770130097
519;-165.81009176634871
520;-165.78117180514369
521;-165.75456429454289
522;-165.7300901326455
523;-165.70758360329546
524;-165.68689141216919
525;-165.66787178952791
526;-165.65039365539178
527;-165.63433584279937
528;-165.61958637538987
529;-165.60604179560869
530;-165.59360654015723
531;-165.58219235948263
532;-165.5717177776196
533;-165.56210759262808
534;-165.55329241020058
535;-165.54520821141682
536;-165.53779595140145
537;-165.53100118690236
538;-165.52477373017564
539;-165.51906732929751
540;-165.51383937024752
541;-165.50905060108994
542;-165.50466487634321
543;-165.50064891975126
544;-165.49697210531144
545;-165.49360625359645
546;-165.49052544333745
547;-165.48770583685268
548;-165.48512551902922
549;-165.48276434766967
550;-165.48060381514756
551;-165.47862692082367
552;-165.47681805269531
553;-165.47516287793337
554;-165.47364824215742
555;-165.47226207589119
556;-165.47099330833453
557;-165.46983178783626
558;-165.46876820833677
559;-165.46779404141535
560;-165.46690147381651
561;-165.46608334955522
562;-165.46533311677263
563;-165.46464477852942
564;-165.46401284750664
565;-165.46343230437424
566;-165.46289855926148
567;-165.46240741645897
568;-165.46195504173875
569;-165.46153793244116
570;-165.4611528897783
571;-165.46079699354163
572;-165.46046757868794
573;-165.46016221389186
574;-165.45987868181123
575;-165.45961496098971
576;-165.45936920914255
577;-165.45913974794917
578;-165.45892504893982
579;-165.45872372066401
580;-165.45853449688911
581;-165.45835622571485
582;-165.45818785968459
583;-165.45802844664399
584;-165.4578771214367
585;-165.45773309824585
586;-165.45759566360766
587;-165.45746416998031
588;-165.45733802993755
589;-165.45721671077104
590;-165.45709972959912
591;-165.4569866489087
592;-165.45687707243246
593;-165.45677064144638
594;-165.45666703132565
595;-165.45656594846037
596;-165.45646712738403
597;-165.45637032820559
598;-165.4562753342409
599;-165.45618194986127
600;-165.4560899985122
601;-165.45599932097343
602;-165.45590977366783
603;-165.45582122725364
604;-165.45573356521459
605;-165.45564668268344
606;-165.45556048529852
607;-165.45547488821421
608;-165.45538981517211
609;-165.45530519767931
610;-165.45522097424646
611;-165.45513708968474
612;-165.45505349452515
613;-165.45497014442208
614;-165.45488699965267
615;-165.45480402467092
616;-165.45472118766475
617;-165.4546384601997
618;-165.45455581687497
619;-165.45447323501139
620;-165.45439069435929
621;-165.45430817686952
622;-165.45422566644561
623;-165.4541431487753
624;-165.45406061110384
625;-165.45397804208869
626;-165.4538954316622
627;-165.45381277087358
628;-165.45373005178112
629;-165.45364726734101
630;-165.45356441131707
631;-165.4534814781764
632;-165.45339846303023
633;-165.45331536155231
634;-165.45323216992165
635;-165.45314888476332
636;-165.45306550310124
637;-165.45298202230242
638;-165.45289844005924
639;-165.45281475432466
640;-165.45273096330584
641;-165.4526470654182
642;-165.45256305925568
643;-165.45247894360432
644;-165.45239471738773
645;-165.4523103796505
646;-165.45222592956134
647;-165.45214136637742
648;-165.45205668945005
649;-165.45197189819714
650;-165.45188699212258
651;-165.45180197077161
652;-165.45171683373928
653;-165.45163158067908
654;-165.45154621127267
655;-165.45146072522266
656;-165.4513751222778
657;-165.4512894022057
658;-165.45120356479833
659;-165.45111760985674
660;-165.45103153719833
661;-165.45094534667032
662;-165.45085903809695
663;-165.45077261134543
664;-165.45068606627456
665;-165.45059940274768
666;-165.45051262064726
667;-165.45042571983413
668;-165.45033870020575
669;-165.45025156163592
670;-165.45016430401574
671;-165.45007692722766
672;-165.44998943116116
673;-165.44990181571325
674;-165.44981408076501
675;-165.4497262262264
676;-165.44963825196896
677;-165.44955015788878
678;-165.44946194387853
679;-165.44937360983363
680;-165.44928515563856
681;-165.44919658118511
682;-165.44910788636753
683;-165.44901907107351
684;-165.44893013518958
685;-165.44884107860435
686;-165.4487519012107
687;-165.44866260289427
688;-165.44857318353638
689;-165.44848364303084
690;-165.44839398125578
691;-165.44830419811046
692;-165.44821429346052
693;-165.44812426720273
694;-165.44803411922226
695;-165.4479438493986
696;-165.4478534576092
697;-165.44776294375083
698;-165.44767230769503
699;-165.44758154932219
700;-165.44749066852523
701;-165.44739966516909
702;-165.44730853914757
703;-165.44721729033449
704;-165.44712591861321
705;-165.44703442385753
706;-165.44694280594967
707;-165.44685106476459
708;-165.44675920018972
709;-165.44666721209865
710;-165.44657510035881
711;-165.44648286486108
712;-165.44639050547539
713;-165.44629802208215
714;-165.44620541454333
715;-165.44611268275389
716;-165.44601982657628
717;-165.44592684589111
718;-165.44583374057061
719;-165.44515414883654
720;-165.44564715552974
721;-165.44555367555108
722;-165.44546007043255
723;-165.44536634004908
724;-165.44527248427426
725;-165.44517850297461
726;-165.44508439602532
727;-165.44499016329473
728;-165.44489580465824
729;-165.4448013199833
730;-165.44470670914166
731;-165.44461197200349
732;-165.4445171084451
733;-165.44442211832234
734;-165.44432700151197
735;-165.44423175788393
736;-165.44413638730498
737;-165.44404088963438
738;-165.44394526476185
739;-165.44384951253801
740;-165.44375363283098
741;-165.44365762550888
742;-165.44356149044165
743;-165.4434652274856
744;-165.44336883651999
745;-165.44327231739294
746;-165.44317566999212
747;-165.44307889415791
748;-165.44298198976685
749;-165.44288495667683
750;-165.44278779475258
751;-165.44269050385765
752;-165.44259308386108
753;-165.44249553461327
754;-165.44239785598688
755;-165.44230004782867
756;-165.44220211001812
757;-165.44210404240448
758;-165.44200584484565
759;-165.4419075172143
760;-165.44180905936037
761;-165.4417104711365
762;-165.44161175241675
763;-165.44151290304535
764;-165.44141392289157
765;-165.4413148118058
766;-165.44121556964387
767;-165.44111619627529
768;-165.4410166915427
769;-165.44091705531264
770;-165.44081728742731
771;-165.44071738775187
772;-165.44061735613877
773;-165.44051719244885
774;-165.44041689652204
775;-165.44031646822259
776;-165.44021590740113
777;-165.44011521391349
778;-165.44001438760529
779;-165.43991342833533
780;-165.43981233595173
781;-165.4397111103176
782;-165.43960975126038
783;-165.43950825864658
784;-165.43940663232775
785;-165.43930487215403
