Iteration;ELBO
214;-177.82097874073997
215;-177.73784510269138
216;-177.60898670025517
217;-177.44107696093852
218;-177.24072967736174
219;-177.01434549006171
220;-176.76799368686738
221;-176.50732499391256
222;-176.23751082773947
223;-175.96320531579363
224;-175.68852635966755
225;-175.41705232078084
226;-175.15183164729729
227;-174.89540246812567
228;-174.64982012727432
229;-174.41669029343257
230;-174.1972061333388
231;-173.99218789752604
232;-173.8021235506053
233;-173.62720956812996
234;-173.46739091608197
235;-173.32239945915262
236;-173.19179041177063
237;-173.07497632816421
238;-172.97125839781143
239;-172.87985481513897
240;-172.79992624001738
241;-172.73059827071006
242;-172.67098100219869
243;-172.62018577977301
244;-172.57733925977323
245;-172.54159499676257
246;-172.51214271114713
247;-172.4882154508573
248;-172.46909485718152
249;-172.4541147463874
250;-172.44266321696068
251;-172.43418347800889
252;-172.42817360319009
253;-172.42418538196762
254;-172.42182243896423
255;-172.42073777554947
256;-172.42063087277961
257;-172.4212444802688
258;-172.42236120047619
259;-172.42379996385625
260;-172.42541247623876
261;-172.42707970698666
262;-172.42870847419863
263;-172.43022817215865
264;-172.43158767615159
265;-172.43275244971232
266;-172.43370187331129
267;-170.8994087788285
268;-172.43492737280076
269;-172.43521101338433
270;-172.4352907269772
271;-172.43518356528625
272;-172.43490932644545
273;-172.43448944874149
274;-172.43394608789481
275;-172.433301362267
276;-172.43257675000177
277;-172.43179262221088
278;-172.43096789585343
279;-172.43011979129255
280;-172.42926367948417
281;-172.42841300543773
282;-172.4275792745816
283;-175.6793978293008
284;-172.42599923233024
285;-172.42526676621878
286;-172.42457917478441
287;-172.42393950555743
288;-172.42334952638521
289;-172.42280988504785
290;-172.4223202676078
291;-172.42187955231657
292;-172.42148595632534
293;-172.42113717276584
294;-172.42083049694861
295;-172.42056294048325
296;-172.42033133297741
297;-174.62736634272642
298;-172.41996289419285
299;-172.41981955039387
300;-174.25288579330754
301;-172.41959899716403
302;-174.00662519813955
303;-172.4194475955419
304;-173.7689038498545
305;-173.65447380971591
306;-173.54353107793713
307;-173.4364051549037
308;-173.33337322881016
309;-173.23466289474277
310;-173.14045577785032
311;-173.0508903722216
312;-172.9660652688724
313;-172.41914836982778
314;-172.81084900606947
315;-172.41911014945731
316;-172.4190897435742
317;-172.41906822097462
318;-172.55790916943715
319;-172.50629782292708
320;-172.45912933691875
321;-172.41627079140903
322;-172.4189424430549
323;-172.41891397439781
324;-172.41888462905604
325;-172.41885452919723
326;-172.41882379896265
327;-172.41879256035668
328;-172.41876093006044
329;-172.4187290169948
330;-172.41869692053092
331;-172.41866472940183
332;-172.41863252103531
333;-172.41860036132857
334;-172.41856830484676
335;-172.4185363952156
336;-172.17483979569556
337;-172.41847314044685
338;-172.41844183449871
339;-172.41841075568891
340;-172.41837990519184
341;-172.41834927860145
342;-172.41831886691853
343;-172.41828865745128
344;-172.41825863470353
345;-172.41822878115636
346;-172.41819907792205
347;-172.41816950545854
348;-172.41814004397884
349;-172.41811067399522
350;-172.41808137665521
351;-172.41805213401881
352;-172.41802292930743
353;-172.41799374702464
354;-172.41796457310647
355;-172.41793539494302
356;-172.41790620139932
357;-172.41787698276744
358;-172.41784773076665
359;-172.41781843843978
360;-172.41778910002972
361;-172.41775971092557
362;-172.41773026753731
363;-172.41770076717216
364;-172.41767120791883
365;-172.41764158855949
366;-172.41761190843977
367;-172.41758216735434
368;-172.41755236551762
369;-172.41752250339709
370;-172.41749258169602
371;-172.41746260127184
372;-172.4174325630529
373;-172.41740246804875
374;-172.41737231724596
375;-172.41734211160474
376;-172.41731185204844
377;-172.4172815394229
378;-172.41725117448414
379;-172.41722075790312
380;-172.41719029025717
381;-172.41715977201807
382;-172.41712920357531
383;-172.41709858521449
384;-172.41706791716683
385;-172.41703719955444
386;-172.417006432466
387;-172.41697561591241
388;-172.41694474986139
389;-172.41691383422653
390;-172.41688286893032
391;-172.41685185383221
392;-172.41682078879626
393;-172.41678967366101
394;-172.41675850826664
395;-172.4167272924642
396;-172.41669602608636
397;-172.41666470898826
398;-172.41663334103282
399;-172.41660192208769
400;-172.41657045204033
401;-172.4165389307791
402;-172.4165073582119
403;-172.41647573427485
404;-172.41644405889178
405;-172.41641233201017
406;-172.41638055358862
407;-172.41634872359668
408;-172.41631684201343
409;-172.41628490880635
410;-172.41625292399112
411;-172.41622088755435
412;-172.41618879949169
413;-172.41615665981021
414;-172.41612446853378
415;-172.41609222565626
416;-172.41605993119992
417;-172.41602758516956
418;-172.41599518759244
419;-172.41596273846471
420;-172.41593023780592
421;-172.41589768563836
422;-172.41586508194064
423;-172.41583242676393
424;-172.41579972009004
425;-172.41576696193533
426;-172.41573415230368
427;-172.41570129120328
428;-172.41566837863002
429;-172.4156354146005
430;-172.41560239911041
431;-172.41556933214952
432;-172.41553621374283
433;-172.41550304387169
434;-172.41546982253658
435;-172.41543654974589
436;-172.41540322548121
437;-172.41536984975551
438;-172.41533642256036
439;-172.41530294389963
440;-172.41526941377151
441;-172.4152358321694
442;-172.41520219908875
443;-172.4151685145257
444;-172.41513477848707
445;-172.41510099096581
446;-172.41506715195078
447;-172.41503326145175
448;-172.41499931946419
449;-172.41496532598239
