Iteration;ELBO
0;-13625753831.455826
1;-1.6726691411824555e+44
2;-805504733479.05737
3;-935294337.04229879
4;-1853240000.5469213
5;-2408929099.0668344
6;-2775802618.8653646
7;-3029991266.4157581
8;-3210578394.3583875
9;-3339924009.8187385
10;-3431884265.0858455
11;-3495588753.6164494
12;-3537352439.7363391
13;-3561718098.7734904
14;-3572060300.787344
15;-3570953797.4584937
16;-3560407615.7683163
17;-3542019413.7379761
18;-3517080482.3109746
19;-3486649027.9972959
20;-3451602732.7642212
21;-3412677010.8806663
22;-3370493668.2802877
23;-3325582417.3347659
24;-3278397617.7419891
25;-3229331123.4849586
26;-3178722577.9406257
27;-3126867651.4762506
28;-3074024528.6050367
29;-3020419356.4970322
30;-2966250736.4172993
31;-2911693297.4991279
32;-2856900840.7301459
33;-2802008993.6610689
34;-2747137319.4561048
35;-2692391263.631475
36;-2637863783.1859593
37;-2583636800.3602715
38;-2529782337.4638715
39;-2476363636.2916112
40;-2423436098.9546413
41;-2371048117.2061739
42;-2319241805.7866559
43;-2268053653.1905603
44;-2217515100.5729613
45;-2167653091.9041076
46;-2118490465.8469372
47;-2070046406.0351956
48;-2022336812.3780191
49;-1975374634.9116855
50;-1929170174.1831999
51;-1883731352.0013556
52;-1839063955.5280044
53;-1795171857.6987152
54;-1752057191.9589844
55;-1709720582.7531302
56;-1668161281.7020204
57;-1627377314.668263
58;-1587365614.7449238
59;-1548122142.5829532
60;-1509641995.2239232
61;-1471919485.7064321
62;-1434948271.4451001
63;-1398721414.238193
64;-1363231453.094234
65;-1328470470.0604951
66;-1294430133.9299176
67;-1261101786.8507464
68;-1228476475.6797612
69;-1196544981.5957606
70;-1165297889.1304247
71;-1134725606.3555877
72;-1104818384.2273293
73;-1075566372.0183952
74;-1046959629.4436501
75;-1018988138.5741405
76;-991641848.69116461
77;-964910671.99020231
78;-938784522.70300102
79;-913253310.66720402
80;-888306975.57431257
81;-863935478.96780503
82;-840128834.33355856
83;-816877097.98155963
84;-794170395.57905197
85;-771998912.2788651
86;-750352916.19944572
87;-729222748.0894568
88;-708598842.1786319
89;-688471715.60491085
90;-668831980.24679542
91;-649670352.67372751
92;-630977643.53781569
93;-612744767.22472477
94;-594962749.89830148
95;-577622719.12859356
96;-560715911.82162166
97;-544233675.49662459
98;-528167474.40842021
99;-512508879.75193501
100;-497249575.82846951
101;-482381360.49422979
102;-467896145.45287538
103;-453785960.66997343
104;-440042945.50991738
105;-426659353.29914832
106;-413627551.14416593
107;-400940019.66073358
108;-388589352.62391621
109;-376568256.54753304
110;-364869550.20063591
111;-353486164.06785244
112;-342411139.75967389
113;-331637629.37814629
114;-321158894.84271997
115;-310968307.18059158
116;-301059345.7853387
117;-291425597.6471926
118;-282060756.5579614
119;-272958622.29323065
120;-264113099.77417967
121;-255518198.21106544
122;-247168030.2302075
123;-239056810.98604983
124;-231178857.25973541
125;-223528584.62238652
126;-216100510.53106168
127;-208889251.28834444
128;-201889521.09785578
129;-195096131.11119282
130;-188503986.87002859
131;-182108090.67876911
132;-175903538.87897795
133;-169885520.86785823
134;-164049316.73672199
135;-158390299.15423054
136;-152903930.86052147
137;-147585762.43777582
138;-142431433.87060344
139;-137436672.18745622
140;-132597289.35118921
141;-127909183.53015675
142;-123368335.8607313
143;-118970811.54255269
144;-114712756.75860041
145;-110590399.60727347
146;-106600048.03670433
147;-102738087.9742199
148;-99000984.035794586
149;-95385276.796629861
150;-91887583.365919501
151;-88504594.782144293
152;-85233075.77887398
153;-82069864.391317219
154;-79011869.524215311
155;-76056071.233791515
156;-73199518.4020098
157;-70439328.357141748
158;-67772686.363208249
159;-65196843.442097262
160;-62709115.922679178
161;-60306884.873695835
162;-57987594.061317496
163;-55748749.437669128
164;-53587918.52668605
165;-51502728.506269328
166;-49490865.646363057
167;-47550074.284558758
168;-45678155.806047045
169;-43872967.970606096
170;-42132423.182031825
171;-40454487.862820454
172;-38837181.454838589
173;-37278575.425970316
174;-35776792.28305766
175;-34330004.857128866
176;-32936434.770379476
177;-31594351.765110258
178;-30302072.744898058
179;-29057960.823552139
180;-27860424.38212806
181;-26707916.134275496
182;-25598932.200181093
183;-24532011.18936184
184;-23505733.292553328
185;-22518719.382931035
186;-21569630.126890168
187;-20657165.104601037
188;-19780061.9405488
189;-18937095.4442528
190;-18127076.76135423
191;-17348852.403375626
192;-16601303.698511405
193;-15883345.827432971
194;-15193927.017514111
195;-14532027.748206953
196;-13896659.967691824
197;-13286866.22046308
198;-12701719.099176548
199;-12140320.383222666
200;-11601800.301499907
201;-11085316.723391674
202;-10590054.621763052
203;-10115225.277393371
204;-9660065.5890250448
205;-9223837.3260351922
206;-8805826.6090345401
