Iteration;ELBO
88;-45387422.552782401
89;-40402619.29640846
90;-35897108.743707076
91;-31831406.601164278
92;-28168704.718600046
93;-24874736.613846924
94;-21917645.853171118
95;-19267855.118338104
96;-16897942.644394334
97;-14782521.378849929
98;-12898122.789594527
99;-11223082.869326752
100;-9737434.4307093527
101;-8422802.7825758997
102;-7262305.5912066409
103;-6240457.2198057985
104;-5343076.2287860159
105;-4557198.1244756524
106;-3870991.7713521826
107;-3273679.8364970316
108;-2755463.2024503397
109;-2307449.2753082281
110;-1921584.10636212
111;-1590588.2378428169
112;-1307896.1763904938
113;-1067599.3917397338
114;-864392.73276562162
115;-693524.14848475368
116;-550747.59781457821
117;-432279.02885136718
118;-334755.30610342417
119;-255195.9624818225
120;-190967.65187407518
121;-139751.17777039303
122;-99510.973640545912
123;-68466.911531341757
124;-45068.316630314366
125;-27970.063480319983
126;-16010.654144142487
127;-8192.1281060636393
128;-3661.7191836728289
129;-1695.1409092561862
130;-1681.3942081446367
131;-3108.9948134866681
132;-5553.5192399939297
133;-8666.3776102085467
134;-12164.72190262175
135;-15822.399361165466
136;-19461.873247221767
137;-22947.030723805074
138;-26176.800663067232
139;-29079.516621705363
140;-31607.956225409129
141;-33734.99336814753
142;-35449.809774314861
143;-36754.607298695497
144;-37661.774501197404
145;-38191.457716512596
146;-38369.495733460404
147;-38225.676847434035
148;-37792.282009019065
149;-37102.880516171659
150;-36191.347722851438
151;-35091.076063048771
152;-33834.354846545044
153;-32451.895610846157
154;-30972.481271227953
155;-29422.722391440722
156;-27826.901646948463
157;-26206.893775662589
158;-24582.146993487346
159;-22969.713270352877
160;-21384.319328976169
161;-19838.468481600597
162;-18342.56473092518
163;-16905.054482335981
164;-15532.579211045966
165;-14230.133583309565
166;-13001.226794838934
167;-11848.042689613976
168;-10771.596326969498
169;-9771.8850906981825
170;-8848.0319379199937
171;-7998.4208304158383
172;-7220.8226300505485
173;-6512.5111487895156
174;-5870.3690735228847
175;-5290.9838064276228
176;-4770.7328919458705
177;-4305.8600081071418
178;-3892.541386774752
179;-3526.943266206672
180;-3205.2709083816662
181;-2923.8097598479217
182;-2678.9593640001876
183;-2467.2606472311454
184;-2285.4172036399796
185;-2130.3111950064194
186;-1999.0144664230684
187;-1888.7954549970891
188;-1797.1224408667986
189;-1721.6636577360696
190;-1660.2847453514005
191;-1611.0439820486899
192;-1572.1857416392668
193;-1542.1324834956431
194;-1519.4756574455459
195;-1502.9658069645629
196;-1491.5021331468597
197;-1484.1217476404399
198;-1479.9888176586828
199;-1478.3837605745812
200;-1478.692638729146
201;-1480.3968677839421
202;-1483.06333081107
203;-1486.3349715309687
204;-1489.9219215030571
205;-1493.5931995417541
206;-1497.1690046571421
207;-1500.513617617562
208;-1503.5289102774386
209;-1506.148453015323
210;-1508.3322081522201
211;-1510.0617860170969
212;-1511.33623686381
213;-1512.1683511775227
214;-1512.5814339562221
215;-1512.6065206392104
216;-1512.2799988626648
217;-1511.6416013384878
218;-1510.7327349606803
219;-1509.5951125183983
220;-1508.2696534559145
221;-1506.7956233936911
222;-1505.2099814164503
223;-1503.5469086629382
224;-1501.8374919001799
225;-1500.109537496317
226;-1498.3874958649976
227;-1496.6924747540415
228;-1495.0423258027149
229;-1493.4517867096329
230;-1491.9326669978636
231;-1490.4940645507158
232;-1489.142601985217
233;-1487.8826753863814
234;-1486.7167072567809
235;-1485.6453971416777
236;-1484.6679660892423
237;-1483.7823903021745
238;-1482.9856213350977
239;-1482.2737902332119
240;-1481.6423949258442
241;-1481.0864695074779
242;-1480.6007352290635
243;-1480.1797333587438
244;-1479.8179401184734
245;-1479.5098648219664
246;-1479.2501318555733
247;-1479.0335476746768
248;-1478.8551540140106
249;-1478.710268575107
250;-1478.5945144968264
251;-1478.503839832907
252;-1478.4345284156116
253;-1478.3832032336413
254;-1478.3468235061664
255;-1478.322676534608
256;-1478.3083653327049
257;-1478.3017929477755
258;-1478.3011442962652
259;-1478.3048662467008
260;-1478.3116465936746
261;-1478.3203924804529
262;-1478.3302087453594
263;-1478.3403765895964
264;-1478.3503328935039
265;-1478.3596504352372
266;-1478.3680192197207
267;-1478.3752290585944
268;-1478.3811535008772
269;-1478.385735171636
270;-1478.3889725402787
271;-1478.3909081107049
272;-1478.3916179988519
273;-1478.3912028472878
274;-1478.3897800061386
275;-1478.3874769006088
276;-1478.3844254960677
277;-1478.3807577682728
278;-1478.3766020806906
279;-1478.3720803729684
280;-1478.3673060650035
281;-1478.3623825865816
282;-1478.3574024417994
283;-1478.3524467271545
284;-1478.3475850288214
285;-1478.3428756251251
286;-1478.3383659326573
287;-1478.3340931406256
288;-1478.3300849793359
289;-1478.3263605832417
290;-1478.3229314071596
291;-1478.319802165799
292;-1478.3169717708406
293;-1478.3144342417636
294;-1478.3121795761817
295;-1478.3101945644776
296;-1478.3084635416872
297;-1478.3069690685043
298;-1478.305692539916
299;-1478.3046147187197
300;-1478.3037161960256
301;-1478.3029777800166
302;-1478.3023808173875
303;-1478.3019074509921
304;-1478.3015408196534
305;-1478.3012652050093
306;-1478.3010661312128
307;-1478.3009304235511
308;-1478.3008462313082
309;-1478.3008030205783
310;-1478.3007915421658
311;-1478.3008037794534
312;-1478.3008328806263
313;-1478.3008730794736
314;-1478.3009196081475
315;-1478.3009686051355
316;-1478.3010170213201
317;-1478.3010625260904
318;-1478.3011034156843
319;-1478.301138525283
320;-1478.3011671458098
321;-1478.3011889466379
322;-1478.3012039045898
323;-1478.301212239634
324;-1478.3012143575725
325;-1478.301210799531
326;-1478.3012021981867
327;-1478.3011892404393
328;-1478.301172636191
329;-1478.3011530927342
330;-1478.3011312943636
331;-1478.3011078865766
332;-1478.3010834645083
333;-1478.3010585649336
334;-1478.3010336614461
335;-1478.3010091622255
336;-1478.3009854100674
337;-1478.3009626841522
338;-1478.3009412031824
339;-1478.3009211296139
340;-1478.3009025746142
341;-1478.3008856034012
342;-1478.3008702410079
343;-1478.3008564779211
344;-1478.3008442757364
345;-1478.3008335724935
346;-1478.3008242877768
347;-1478.3008163273316
348;-1478.3008095873211
349;-1478.3008039580418
350;-1478.3007993271713
351;-1478.3007955825797
352;-1478.3007926146493
353;-1478.3007903180733
354;-1478.300788593433
355;-1478.3007873481929
